Squad,Comp,# Pl,Age,Poss,MP,Starts,Team Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,TeamTouches90,Opp Touches
Betis,es La Liga,35,28.4,50.4,28,308,2520,28.0,33,24,57,32,1,1,65,3,32.7,31.9,25.1,57.0,516,1060,1.18,0.86,2.04,1.14,2.0,1.17,0.9,614.5357142857143,17050
Bochum,de Bundesliga,25,29.8,45.4,25,275,2250,25.0,29,20,49,25,4,4,77,1,31.8,28.7,20.8,49.5,297,829,1.16,0.8,1.96,1.0,1.8,1.27,0.83,537.64,15855
Bologna,it Serie A,27,25.9,57.2,28,308,2520,28.0,39,23,62,35,4,5,66,1,34.5,30.6,21.7,52.2,483,1042,1.39,0.82,2.21,1.25,2.07,1.23,0.77,693.7857142857143,15296
Bournemouth,eng Premier League,27,26.4,44.4,27,297,2430,27.0,37,27,64,36,1,2,56,2,40.2,38.7,29.0,67.6,490,957,1.37,1.0,2.37,1.33,2.33,1.49,1.07,551.925925925926,17757
Brentford,eng Premier League,28,27.4,44.4,28,308,2520,28.0,39,24,63,36,3,3,65,1,43.9,41.8,30.6,72.4,346,933,1.39,0.86,2.25,1.29,2.14,1.57,1.09,557.6785714285714,18879
Brest,fr Ligue 1,23,27.7,53.1,25,275,2250,25.0,34,22,56,30,4,4,60,3,35.7,32.6,24.8,57.4,442,973,1.36,0.88,2.24,1.2,2.08,1.43,0.99,634.64,14289
Brighton,eng Premier League,27,26.7,62.3,28,308,2520,28.0,46,35,81,41,5,5,70,3,45.5,41.9,33.3,75.2,640,1403,1.64,1.25,2.89,1.46,2.71,1.63,1.19,797.1785714285714,14612
Burnley,eng Premier League,30,25.1,46.2,28,308,2520,28.0,26,20,46,25,1,1,58,5,25.6,24.8,19.4,44.2,485,814,0.93,0.71,1.64,0.89,1.61,0.91,0.69,575.2142857142857,18365
Cádiz,es La Liga,33,29.2,42.4,28,308,2520,28.0,20,13,33,18,2,2,83,6,24.3,22.8,16.4,39.2,306,699,0.71,0.46,1.18,0.64,1.11,0.87,0.59,487.57142857142856,17453
Cagliari,it Serie A,28,26.8,43.3,28,308,2520,28.0,28,21,49,27,1,3,58,3,31.1,28.9,21.2,50.1,395,845,1.0,0.75,1.75,0.96,1.71,1.11,0.76,505.0,18015
Celta Vigo,es La Liga,28,27.5,43.9,28,308,2520,28.0,29,21,50,28,1,3,51,5,34.3,32.1,24.4,56.5,468,916,1.04,0.75,1.79,1.0,1.75,1.23,0.87,549.1428571428571,19021
Chelsea,eng Premier League,30,25.1,58.8,26,286,2340,26.0,43,30,73,36,7,8,83,3,48.5,42.2,32.7,74.9,576,1118,1.65,1.15,2.81,1.38,2.54,1.87,1.26,731.3076923076923,14290
Clermont Foot,fr Ligue 1,27,27.7,49.8,25,275,2250,25.0,17,13,30,15,2,4,44,6,25.3,22.1,17.4,39.6,414,914,0.68,0.52,1.2,0.6,1.12,1.01,0.7,616.96,15671
Crystal Palace,eng Premier League,26,27.6,41.9,28,308,2520,28.0,33,24,57,29,4,4,54,1,33.1,29.9,25.6,55.5,364,828,1.18,0.86,2.04,1.04,1.89,1.18,0.92,550.3571428571429,20277
Darmstadt 98,de Bundesliga,31,27.8,47.6,25,275,2250,25.0,22,17,39,19,3,3,65,4,24.9,22.6,17.4,40.0,330,850,0.88,0.68,1.56,0.76,1.44,1.0,0.7,575.4,15898
Dortmund,de Bundesliga,31,27.7,57.8,25,275,2250,25.0,50,37,87,46,4,4,44,3,47.6,44.4,34.6,79.0,550,1073,2.0,1.48,3.48,1.84,3.32,1.9,1.38,720.68,13895
Eint Frankfurt,de Bundesliga,32,25.9,52.0,25,275,2250,25.0,38,29,67,37,1,2,51,4,33.8,32.9,26.0,58.9,417,896,1.52,1.16,2.68,1.48,2.64,1.35,1.04,674.92,15789
Empoli,it Serie A,34,26.6,45.6,28,308,2520,28.0,19,13,32,15,4,4,63,0,27.9,24.9,19.8,44.6,406,831,0.68,0.46,1.14,0.54,1.0,1.0,0.71,536.3214285714286,17427
Everton,eng Premier League,25,27.5,40.1,28,308,2520,28.0,29,14,43,29,0,1,59,1,42.3,41.6,30.5,72.0,380,849,1.04,0.5,1.54,1.04,1.54,1.51,1.09,525.3214285714286,20416
Fiorentina,it Serie A,28,27.7,56.5,28,308,2520,28.0,40,24,64,37,3,7,61,0,35.9,30.4,22.1,52.4,449,1217,1.43,0.86,2.29,1.32,2.18,1.28,0.79,622.8571428571429,14434
Freiburg,de Bundesliga,25,27.5,46.3,25,275,2250,25.0,33,25,58,26,7,7,46,3,37.4,32.0,24.2,56.2,343,878,1.32,1.0,2.32,1.04,2.04,1.5,0.97,583.32,16598
Frosinone,it Serie A,34,24.8,51.9,28,308,2520,28.0,35,21,56,28,7,8,55,2,32.4,26.1,20.8,47.0,391,990,1.25,0.75,2.0,1.0,1.75,1.16,0.74,599.0,15786
Fulham,eng Premier League,25,29.3,50.0,28,308,2520,28.0,39,28,67,37,2,2,67,3,36.6,35.0,27.1,62.0,467,1059,1.39,1.0,2.39,1.32,2.32,1.31,0.97,640.7857142857143,18108
Genoa,it Serie A,31,27.4,44.3,28,308,2520,28.0,31,20,51,29,2,3,69,3,25.0,22.5,17.5,40.0,355,828,1.11,0.71,1.82,1.04,1.75,0.89,0.63,524.6071428571429,17818
